Sección (EN),Sección (ES),Pregunta N°,Pregunta (EN),Opción A (EN),Opción B (EN),Opción C (EN),Opción D (EN),Opción E (EN),Pregunta (ES),Opción A (ES),Opción B (ES),Opción C (ES),Opción D (ES),Opción E (ES),key_unico
Importance to Me (Focus),Lo que es Importante para Mí,9,"When I take time to relax, I like to....",Do things with my good friends or family members most.,Just do things around the home or local area or a particular location.,Participate in sports or some form of other activity that I enjoy doing.,"Read or listen to a book, newspaper or learn about new places, people or things going on in my location, country or world.",Browse through shops/markets or the internet looking for something to buy.,"Cuando me tomo un momento para relajarme, me gusta…",Hacer cosas principalmente con mis buenos amigos o familiares.,"Hacer cosas en casa, en la zona local o en un lugar específico.",Participar en deportes o alguna otra actividad que disfruto hacer.,"Leer o escuchar un libro, periódico o informarme sobre nuevos lugares, personas o sucesos en mi localidad, país o el mundo.",Recorrer tiendas/mercados o navegar en internet en busca de algo para comprar.,Lo que es Importante para Mí_17_Cuando me tomo un momento para
My Processing Style,Mi Estilo de Procesamiento,1,I tend to be more…,Open to a wide range of options or possibilities always,Very practical about what I do.,,,,Tiendo a ser más…,Siempre estar abierto a una amplia gama de opciones o posibilidades.,Ser muy práctico en lo que hago.,,,,Mi Estilo de Procesamiento_18_Tiendo a ser más…
My Processing Style,Mi Estilo de Procesamiento,2,I learn best by…,Getting an overview of the outcomes first and then just getting on quickly,"Taking one step at a time, progressing in stages and breaking my learning into logical steps that flow",,,,Aprendo mejor cuando…,Tener primero una visión general de los resultados y luego actuar rápidamente.,"Dar un paso a la vez, avanzar por etapas y dividir el aprendizaje en pasos lógicos y fluidos.",,,,Mi Estilo de Procesamiento_19_Aprendo mejor cuando…
My Processing Style,Mi Estilo de Procesamiento,3,"When I have things to do, I tend to…","Get a general feeling for what needs to be done and then start, often working on multiple tasks at the same time.",Make a detailed list/plan of everything that needs to be done before I start and commence in a structured way.,,,,"Cuando tengo cosas que hacer, tiendo a…","Obtener una sensación general de lo que hay que hacer y luego empezar, a menudo trabajando en varias tareas al mismo tiempo.","Hacer una lista/plan detallado de todo lo que hay que hacer antes de comenzar, y empezar de forma estructurada.",,,,"Mi Estilo de Procesamiento_20_Cuando tengo cosas que hacer, "
My Processing Style,Mi Estilo de Procesamiento,4,I am more of a…,"Creative or visionary type of person, I like visualising ideas or ways of doing things and experimenting",Down to earth/ pragmatic person engaging in things that are relevant and have a chance of working,,,,Soy más del tipo de persona que…,Ser una persona creativa o visionaria; me gusta visualizar ideas o maneras de hacer las cosas y experimentar.,Ser una persona realista/pragmática que se enfoca en cosas relevantes y posibles de lograr.,,,,Mi Estilo de Procesamiento_21_Soy más del tipo de persona qu
My Processing Style,Mi Estilo de Procesamiento,5,I prefer to…,See the big picture/outcome and only care about the result.,Separate the information into logical steps/stages and organise things first before starting.,,,,Prefiero…,Ver el panorama general y preocuparme solo por el resultado.,Separar la información en pasos/etapas lógicas y organizar todo antes de comenzar.,,,,Mi Estilo de Procesamiento_22_Prefiero…
My Processing Style,Mi Estilo de Procesamiento,6,I prefer…,A wider view/perspective on any situation.,A realistic view of what needs/can actually be done.,,,,Prefiero…,Tener una perspectiva más amplia sobre cualquier situación.,Tener una visión realista de lo que se necesita o realmente se puede hacer.,,,,Mi Estilo de Procesamiento_23_Prefiero…
My Processing Style,Mi Estilo de Procesamiento,7,I enjoy learning…,Concepts and ideas.,Specific tasks or processes.,,,,Disfruto aprender…,Conceptos e ideas.,Tareas o procesos específicos.,,,,Mi Estilo de Procesamiento_24_Disfruto aprender…
My Processing Style,Mi Estilo de Procesamiento,8,I tend to be more of a…,Dreamer.,Doer.,,,,Tiendo a ser más…,Soñador.,Hacedor.,,,,Mi Estilo de Procesamiento_25_Tiendo a ser más…
My Processing Style,Mi Estilo de Procesamiento,9,I tend to be more…,"Open to being interrupted and dropping things to do something else, often at a moment's notice.","Focused on things when I start them and I much prefer to finish them or get them to a stage I can finish on, before stopping.",,,,Tiendo a ser más…,Estar abierto a interrupciones y a cambiar de actividad en cualquier momento.,Enfocarme en las cosas cuando las empiezo y preferir terminarlas o dejarlas en una etapa que pueda cerrar antes de detenerme.,,,,Mi Estilo de Procesamiento_26_Tiendo a ser más…
Source of Direction,Fuente de Dirección,1,"When I take time to relax, I like…","Doing something familiar, comfortable and known.",Going places and doing new and exciting things.,,,,"Cuando me tomo un tiempo para relajarme, me gusta…","Hacer algo familiar, cómodo y conocido.",Ir a lugares y hacer cosas nuevas y emocionantes.,,,,"Fuente de Dirección_27_Cuando me tomo un tiempo para "
Source of Direction,Fuente de Dirección,2,"When I need to do something unpleasant, I usually…",Wait or delay until the last minute or I must do it.,Complete the task as soon as possible to allow time for more enjoyable things.,,,,"Cuando necesito hacer algo desagradable, normalmente…",Esperar o retrasar hasta el último minuto o hasta que sea necesario hacerlo.,Terminar la tarea lo antes posible para tener tiempo de disfrutar otras cosas.,,,,Fuente de Dirección_28_Cuando necesito hacer algo des
Source of Direction,Fuente de Dirección,3,"Regarding activities, I tend to…",Avoid joining in because of possible consequences or being pressurised.,Get fully involved and enjoy the experience straight away.,,,,"Con respecto a las actividades, tiendo a…",Evitar participar debido a posibles consecuencias o presiones.,Involucrarme completamente y disfrutar la experiencia desde el inicio.,,,,Fuente de Dirección_29_Con respecto a las actividades
Source of Direction,Fuente de Dirección,4,When it comes to jobs and relationships….,I tend to remain until I can no longer bear it before I leave or move on.,I would keep searching for the right one to match my expectations and current desires.,,,,En lo que se refiere a trabajos y relaciones…,Tiende a permanecer hasta que ya no puedo soportarlo antes de irme o cambiar.,Seguir buscando la opción correcta que cumpla mis expectativas y deseos actuales.,,,,Fuente de Dirección_30_En lo que se refiere a trabajo
Source of Direction,Fuente de Dirección,5,I think about money because….,I might not have enough to pay my bills.,I like to increase my earning and purchasing power.,,,,Pienso en el dinero porque…,Podría no tener suficiente dinero para pagar mis cuentas.,Me gusta aumentar mi capacidad de ingresos y de compra.,,,,Fuente de Dirección_31_Pienso en el dinero porque…
Source of Direction,Fuente de Dirección,6,"When I am driving, I….","Drive within safe limits to avoid being hurting someone, fined or stopped by the police.",Just want to get to my destination and complete the journey.,,,,"Cuando manejo, yo…","Conducir dentro de los límites de seguridad para evitar dañar a alguien, recibir multas o ser detenido por la policía.",Solo quiero llegar a mi destino y completar el recorrido.,,,,"Fuente de Dirección_32_Cuando manejo, yo…"
Source of Direction,Fuente de Dirección,7,"When I think about purchasing something, I think about….",How to prevent being approached and sold what I don’t want.,The pleasure or reward it will give me when I buy it.,,,,"Cuando pienso en comprar algo, pienso en…",Pensar en cómo evitar que me aborden y me vendan cosas que no deseo.,El placer o recompensa que obtendré al comprarlo.,,,,"Fuente de Dirección_33_Cuando pienso en comprar algo,"
Source of Direction,Fuente de Dirección,8,When the situation presents itself….,I avoid new people unless they approach me first.,I actively engage and enjoy meeting new people.,,,,Cuando se presenta una situación…,Evitar nuevas personas a menos que ellas se acerquen primero.,Me involucro activamente y disfruto conocer nuevas personas.,,,,Fuente de Dirección_34_Cuando se presenta una situaci
Source of Direction,Fuente de Dirección,9,People sometimes describe me as…,"A person who can over-analyse the negative outcomes, a devil’s advocate or even a cynic.",Someone who is very goal or solution focused.,,,,A veces la gente me describe como…,"Ser una persona que puede sobreanalizar los resultados negativos, actuar como abogado del diablo o incluso como cínico.",Alguien muy enfocado en metas o soluciones.,,,,Fuente de Dirección_35_A veces la gente me describe c
Source of Motivation,Fuente de Motivación,1,I am more comfortable when I am…,Alone in my own space.,With other people.,,,,Me siento más cómodo cuando…,Estar solo en mi propio espacio.,Con otras personas.,,,,Fuente de Motivación_36_Me siento más cómodo cuando…
Source of Motivation,Fuente de Motivación,2,"When it comes to making decisions about where to go, what to do, or buy, I….",Make my own decisions.,Seek out and rely on other people’s advice or counsel.,,,,"Cuando se trata de tomar decisiones sobre a dónde ir, qué hacer o qué comprar, yo…",Tomar mis propias decisiones.,Buscar y confiar en el consejo o guía de otros.,,,,Fuente de Motivación_37_Cuando se trata de tomar decis
Source of Motivation,Fuente de Motivación,3,"At work, I prefer to….",Decide on what needs to be done and just do it.,Rely on others to give me guidance or prefer to bounce ideas off them,,,,"En el trabajo, prefiero…",Decidir qué se debe hacer y simplemente hacerlo.,Depender de otros para que me orienten o compartir ideas con ellos.,,,,"Fuente de Motivación_38_En el trabajo, prefiero…"
Source of Motivation,Fuente de Motivación,4,When I’m getting dressed for a special occasion or night out I ….,Decide on what looks best.,Wonder what others will think of what I wear and seek advice.,,,,"Cuando me visto para una ocasión especial o una salida nocturna, yo…",Decidir según lo que mejor se vea.,Preguntarme qué pensarán los demás sobre lo que llevo puesto y pedir opiniones.,,,,Fuente de Motivación_39_Cuando me visto para una ocasi
Source of Motivation,Fuente de Motivación,5,"When joining friends for lunch, I tend to….",Encourage them to eat at places I know.,Go wherever others want to go or suggest first.,,,,"Cuando me reúno con amigos para almorzar, tiendo a…",Animar a los demás a comer en lugares que conozco.,Ir adonde otros quieren o sugieren primero.,,,,Fuente de Motivación_40_Cuando me reúno con amigos par
Source of Motivation,Fuente de Motivación,6,"When people talk about my behaviour, I tend to…",Listen and then make up my own mind.,Believe them and change accordingly.,,,,"Cuando la gente habla de mi comportamiento, tiendo a…",Escuchar y luego formar mi propia opinión.,Creerles y cambiar en consecuencia.,,,,Fuente de Motivación_41_Cuando la gente habla de mi co
Source of Motivation,Fuente de Motivación,7,"When it comes to planning my time, I tend to spend it….",Doing what I want or enjoy.,Doing what other people around me want to do.,,,,"Cuando se trata de planificar mi tiempo, tiendo a dedicarlo a…",Hacer lo que quiero o disfruto.,Hacer lo que las personas a mi alrededor desean hacer.,,,,"Fuente de Motivación_42_Cuando se trata de planificar "
Source of Motivation,Fuente de Motivación,8,"When I think about my work, I can proudly say….",I did that myself or I did it my way.,I did it so others could benefit or it was the best way for all concerned.,,,,"Cuando pienso en mi trabajo, puedo decir con orgullo…",Haberlo hecho yo mismo o a mi manera.,Lo hice para que otros se beneficiaran o porque era lo mejor para todos.,,,,"Fuente de Motivación_43_Cuando pienso en mi trabajo, p"
Source of Motivation,Fuente de Motivación,9,"In-group activities, I tend to….",Make sure I influence them so I get what I think is the best result.,Go along with the group no matter what my preference may be.,,,,"En actividades grupales, tiendo a…",Asegurarme de influenciar para lograr lo que considero el mejor resultado.,Seguir al grupo sin importar mi preferencia.,,,,"Fuente de Motivación_44_En actividades grupales, tiend"
Preferences,Preferencias,1,I would prefer to be in a job where every day is….,New and challenging.,Constant and knowing what to expect.,,,,Preferiría estar en un trabajo donde cada día sea…,Algo nuevo y desafiante.,Constancia y saber qué esperar.,,,,Preferencias_45_Preferiría estar en un trabajo
Preferences,Preferencias,2,"When it comes to decision-making, I’d rather….",Evaluate all the alternatives in detail.,Make a decision based on what I know and get on with it.,,,,"Cuando se trata de tomar decisiones, prefiero…",Evaluar todas las alternativas en detalle.,Tomar decisiones con base en lo que sé y seguir adelante.,,,,Preferencias_46_Cuando se trata de tomar decis
Preferences,Preferencias,3,"Given a choice, I’d rather….",Create a new approach.,Do it in a way that is known to work for me or others.,,,,"Si tengo que elegir, prefiero…",Crear un nuevo enfoque.,Hacerlo de una manera que sé que funciona para mí o para otros.,,,,"Preferencias_47_Si tengo que elegir, prefiero…"
Preferences,Preferencias,4,I like to….,Be spontaneous.,Pre plan my actions.,,,,Me gusta…,Ser espontáneo.,Prever mis acciones con anticipación.,,,,Preferencias_48_Me gusta…
Preferences,Preferencias,5,I enjoy….,Changing environments around me.,Things to remain familiar and constant.,,,,Disfruto…,Adaptarme a entornos cambiantes a mi alrededor.,Que las cosas se mantengan familiares y constantes.,,,,Preferencias_49_Disfruto…
Preferences,Preferencias,6,I like to…,Have a change of pace in things I do.,"Follow a consistent routine, process or procedure.",,,,Me gusta…,Cambiar el ritmo en las actividades que realizo.,"Seguir una rutina, proceso o procedimiento consistente.",,,,Preferencias_50_Me gusta…
Preferences,Preferencias,7,I am attracted to what…,Is possible.,Can be done.,,,,Me atrae…,Es posible.,Se puede hacer.,,,,Preferencias_51_Me atrae…
Preferences,Preferencias,8,I tend to….,Do multiple things at the same time.,Do things one at a time.,,,,Tiendo a…,Hacer múltiples cosas al mismo tiempo.,Hacer las cosas una por una.,,,,Preferencias_52_Tiendo a…
Preferences,Preferencias,9,I would tend to be described as more….,Adaptable.,Methodical.,,,,Tiendo a ser descrito como más…,Adaptable.,Metódico.,,,,Preferencias_53_Tiendo a ser descrito como más
Preferred State,Estado Preferido,1,I feel more comfortable…,When I am busy.,When I am relaxing.,,,,Me siento más cómodo…,Cuando estoy ocupado.,Cuando estoy relajado.,,,,Estado Preferido_54_Me siento más cómodo…
Preferred State,Estado Preferido,2,"When there is a new project formed, I prefer to….",Get involved straight away.,"Wait, consider things and see how it progresses first.",,,,"Cuando se forma un nuevo proyecto, prefiero…",Involucrarme de inmediato.,"Esperar, considerar las cosas y ver cómo se desarrollan primero.",,,,Estado Preferido_55_Cuando se forma un nuevo proye
Preferred State,Estado Preferido,3,"Given a choice, I’d rather….",Participate.,Observe others.,,,,"Si tengo que elegir, prefiero…",Participar.,Observar a los demás.,,,,"Estado Preferido_56_Si tengo que elegir, prefiero…"
Preferred State,Estado Preferido,4,"When I have free time, I’d rather….",Do something that I am ‘actively’ involved in.,"Reflect on things, think about what I have been doing, and consider the outcomes.",,,,"Cuando tengo tiempo libre, prefiero…",Hacer algo en lo que esté activamente involucrado.,Reflexionar sobre lo que he estado haciendo y considerar los resultados.,,,,"Estado Preferido_57_Cuando tengo tiempo libre, pre"
Preferred State,Estado Preferido,5,I learn best by….,Doing it myself.,Observing others first.,,,,Aprendo mejor…,Hacerlo yo mismo.,Observar primero a otras personas.,,,,Estado Preferido_58_Aprendo mejor…
Preferred State,Estado Preferido,6,I find interacting with other people….,Stimulating.,Hard work.,,,,Encuentro que interactuar con otras personas es…,Estimulante.,Trabajo duro.,,,,"Estado Preferido_59_Encuentro que interactuar con "
Preferred State,Estado Preferido,7,"At a party, I like to….",Meet new people.,Wait for others to approach me.,,,,"En una fiesta, me gusta…",Conocer nuevas personas.,Esperar a que otros se acerquen a mí.,,,,"Estado Preferido_60_En una fiesta, me gusta…"
Preferred State,Estado Preferido,8,I prefer to….,Get going on things.,Just let things happen.,,,,Prefiero…,Comenzar de inmediato las actividades.,Dejar que las cosas sucedan.,,,,Estado Preferido_61_Prefiero…
Preferred State,Estado Preferido,9,I am….,Active and energetic.,Considered and more reflective.,,,,Soy…,Ser activo y enérgico.,Reflexivo y considerado.,,,,Estado Preferido_62_Soy…
Time Reference,Referencia Temporal,1,I tend to prefer stories about….,Historical events.,Current events.,Future possibilities.,,,Tiendo a preferir historias sobre…,Acontecimientos históricos.,Eventos actuales.,Posibilidades futuras.,,,Referencia Temporal_63_Tiendo a preferir historias so
Time Reference,Referencia Temporal,2,I tend to be….,Sensible.,Spontaneous.,Imaginative.,,,Tiendo a ser…,Sensato.,Espontáneo.,Imaginativo.,,,Referencia Temporal_64_Tiendo a ser…
Time Reference,Referencia Temporal,3,I tend to….,Put my money in a secure place.,Follow current financial opportunities.,Have a financial plan for the future.,,,Tiendo a…,Poner mi dinero en un lugar seguro.,Seguir oportunidades financieras actuales.,Tener un plan financiero para el futuro.,,,Referencia Temporal_65_Tiendo a…
Time Reference,Referencia Temporal,4,Mistakes happen….,I reflect on past examples or similar situations.,I react quickly to fix anything that goes wrong.,I anticipate and prevent problems from occurring,,,Cuando ocurren errores…,Reflexionar sobre ejemplos pasados o situaciones similares.,Reacciono rápido para arreglar cualquier cosa que salga mal.,Anticipo y evito que ocurran problemas.,,,Referencia Temporal_66_Cuando ocurren errores…
Time Reference,Referencia Temporal,5,"When it comes to making choices, I trust….",My experiences.,My immediate reaction or thoughts.,My sense of the future impact on each choice.,,,"Cuando se trata de tomar decisiones, confío en…",Mis experiencias.,Mi reacción o pensamiento inmediato.,Mi percepción del impacto futuro de cada elección.,,,Referencia Temporal_67_Cuando se trata de tomar decis
